model,train_time,inference_time,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,White,Black,Asian,Indian,Others
vit_l_32_3,0:10:39.806553,0:00:11.060162,0.9296668433226072,0.8757496093000684,0.9469077800001416,0.6575474540524254,0.6847581552305961,66.28276386431286,0.7379855,0.7147147,0.5105973,0.7348609,0.1983471
vit_l_32_4,0:11:10.793826,0:00:13.471152,0.9061129542497488,0.865838851247515,0.9311165809631348,0.6658029526965954,0.6822272215973003,65.57030145611081,0.7524687,0.6621622,0.4682081,0.7528642,0.19421488
vit_l_16_9,2:15:56.888842,0:00:49.750358,0.7624599722715525,0.7280187755823135,0.7823492203439985,0.7266043989153359,0.7457817772778402,73.13196169478553,0.8255431,0.8138138,0.6416185,0.690671,0.20661157
vit_l_32_5,0:08:14.780009,0:00:09.828138,1.169755131464738,1.0939350170748574,1.148572136248861,0.5487797529376318,0.5809898762654668,56.2361872621945,0.6010533,0.5840841,0.4470135,0.7168576,0.11570248
vit_l_32_9,0:27:25.586018,0:00:11.387609,0.9029373622857607,0.8414960184267589,0.9070032387971878,0.6637541428141006,0.6971316085489314,66.97284962449756,0.75312704,0.7342342,0.47591522,0.7299509,0.23966943
vit_b_16_9,0:24:27.978597,0:00:09.894428,1.0859848989890173,0.9476140694958823,0.9889874586037227,0.58583910816511,0.6608548931383577,63.68983153785978,0.8472679,0.6501502,0.46435452,0.42716858,0.17768595
vit_l_32_7,0:19:55.103193,0:00:08.354560,1.1383721163639655,1.1289766558579035,1.1791233462946755,0.5642060861705332,0.5610236220472441,53.96315859896796,0.64450294,0.490991,0.33140656,0.5695581,0.38016528
vit_l_32_8,0:26:52.834930,0:00:12.981078,0.8931219949172093,0.8609152798141751,0.9245290628501347,0.6712262729737872,0.6881327334083239,66.26232096127102,0.73930216,0.6981982,0.48169556,0.7610475,0.22727273
vit_l_16_3,0:30:38.079315,0:00:30.593437,0.7939585057588724,0.7353553899696895,0.7820501093353543,0.7124435070804459,0.7435320584926884,72.70597581352506,0.8202765,0.8288288,0.6339114,0.7086743,0.10743801
vit_b_32_9,0:13:45.176808,0:00:06.115725,1.259381146614368,1.3573284617492132,1.365862637758255,0.5086471828864115,0.47750281214848145,45.945677161216736,0.8437295,0.24597365,0.22070312,0.11018364,0.016666668
vit_b_32_8,0:31:33.313231,0:00:14.020790,1.25321803184656,1.3650718075888497,1.3763650613171714,0.5063573365471528,0.4550056242969629,45.5216252378055,0.754432,0.18448023,0.23632812,0.34223706,0.079166666
vit_b_32_7,0:32:28.433548,0:00:15.016126,1.3594527593025794,1.542130091360637,1.5428730717727117,0.45531786682735764,0.36754780652418445,36.946384395871846,0.7537754,0.22254759,0.01953125,0.001669449,0.0125
vit_b_32_0,0:12:49.164474,0:00:14.678105,1.269476907986861,1.3742772766521998,1.3783985589231764,0.5002109068996686,0.47103487064116983,46.26751456941877,0.85423505,0.19912152,0.2890625,0.08347245,0.05
vit_b_32_1,0:33:02.717326,0:00:13.703136,1.2720597129601698,1.3941894216196877,1.3944393736975533,0.4978005423320277,0.4437570303712036,44.77932719247682,0.75049245,0.28843337,0.15234375,0.1736227,0.30416667
vit_b_32_2,0:12:43.627766,0:00:14.159491,1.2635655329777644,1.3761533541338784,1.3752006888389587,0.5011147936125339,0.45106861642294716,46.38658059494836,0.74130005,0.49926794,0.1640625,0.12687813,0.0875
vit_b_32_3,0:12:48.340703,0:00:14.482188,1.2656021915949307,1.4006473549774714,1.4005059940474374,0.5009942753841519,0.4294150731158605,42.49138076390539,0.6047275,0.20204978,0.359375,0.44073457,0.025
vit_b_32_4,0:12:37.997539,0:00:13.976274,1.2609727226770842,1.3996290223939079,1.399189599922725,0.5044893040072311,0.44010123734533185,44.31052197303091,0.74195665,0.26793557,0.12695312,0.2587646,0.19166666
vit_b_32_5,0:12:37.889397,0:00:14.211733,1.3782731423011192,1.5407785943576269,1.5377522153513772,0.45073817414884,0.359111361079865,35.08055603929928,0.7078135,0.12298682,0.056640625,0.06677797,0.075
vit_b_16_4,0:42:16.733994,0:00:40.815816,1.1316188638026898,1.0162933362381799,1.0296372409377779,0.5660138595962639,0.6161417322834646,61.076180211135316,0.9192383,0.61200583,0.33984375,0.29382303,0.025
vit_b_16_5,0:42:13.454275,0:00:40.477108,1.3063674954267648,1.5687914533274514,1.5657472653048379,0.4780355528773727,0.2949943757030371,31.652227682726725,0.47143796,0.04099561,0.26367188,0.13355593,0.6958333
vit_b_16_7,1:43:08.467202,0:00:39.869982,1.2999873601473295,1.5264534396784646,1.526566424540111,0.48183187707140707,0.3065241844769404,31.367684794323786,0.47866052,0.08931186,0.087890625,0.1803005,0.725
vit_b_16_8,1:43:12.665828,0:00:39.370025,1.0900353793914501,0.9398250664983477,0.9463799404246467,0.5863211810786382,0.656636670416198,65.14624953269958,0.84701246,0.66178626,0.46875,0.509182,0.12916666
